Título,Autor,Serie,Valoración,Votos
SISTER OUTSIDER: ESSAYS AND SPEECHES,Audre Lorde,,4.53,35917
ROCK CHICK REGRET,Kristen Ashley,Rock Chick #7,4.53,31942
THE BALLAD OF NEVER AFTER,Stephanie Garber,Once Upon a Broken Heart #2,4.53,211735
TALONS OF POWER,Tui T. Sutherland,Wings of Fire #9,4.53,20579
KEEPING 13,Chloe Walsh,Boys of Tommen #2,4.53,85306
EL LABERINTO DE LOS ESPÍRITUS,Carlos Ruiz Zafón,El cementerio de los libros olvidados #4,4.53,53182
मृत्युंजय,Shivaji Sawant,,4.52,10706
CRASHED,K. Bromberg,Driven #3,4.52,46087
THE NEW JIM CROW: MASS INCARCERATION IN THE AGE OF COLORBLINDNESS,Michelle Alexander,,4.52,108327
THE CREEPING SHADOW,Jonathan Stroud,Lockwood & Co. #4,4.52,24824
LE COMTE DE MONTE-CRISTO I,Alexandre Dumas,Le Comte de Monte-Cristo #1 of 2,4.52,10924
THE NAME OF THE WIND,Patrick Rothfuss,The Kingkiller Chronicle #1,4.52,964820
"THE SANDMAN, VOL. 10: THE WAKE",Neil Gaiman,,4.52,50157
ALL THE LIES,S.T. Abby,Mindf*ck #4,4.52,157963
THE HUNGER GAMES: OFFICIAL ILLUSTRATED MOVIE COMPANION,Kate Egan,,4.52,197051
THE HIDDEN KINGDOM,Tui T. Sutherland,Wings of Fire #3,4.52,34481
THE CRIPPLED GOD,Steven Erikson,Malazan Book of the Fallen #10,4.51,29914
LA ÚLTIMA NOTA,Joana Marcús,Canciones para ella #1,4.51,39679
HEARTSTOPPER: VOLUME FIVE,Alice Oseman,Heartstopper #5,4.51,113038
HEIR OF NOVRON,Michael J. Sullivan,The Riyria Revelations #5-6,4.51,49545
BELIEVING CHRIST: THE PARABLE OF THE BICYCLE AND OTHER GOOD NEWS,Stephen E. Robinson,,4.51,15385
DEMON COPPERHEAD,Barbara Kingsolver,,4.51,409894
U.S. CONSTITUTION,Founding Fathers,Saddlewire Books of American Wisdom,4.51,26924
THE HOBBIT,Chuck Dixon,,4.51,240496
MORNING STAR,Pierce Brown,Red Rising Saga #3,4.51,219376
RUMO & HIS MIRACULOUS ADVENTURES,Walter Moers,Zamonia #3,4.51,11753
THE SPY AND THE TRAITOR: THE GREATEST ESPIONAGE STORY OF THE COLD WAR,Ben Macintyre,,4.51,69622
REDEEMING LOVE,Francine Rivers,,4.51,323027
THE MAGIC FISH,Trung Le Nguyen,,4.51,24795
LOVELY TRIGGER,R.K. Lilley,Tristan & Danika Book 3,4.51,21490
ESCAPING PERIL,Tui T. Sutherland,Wings of Fire #8,4.51,23110
ENDLESS,Jessica Shirvington,The Violet Eden Chapters #4,4.51,10548
AS LONG AS THE LEMON TREES GROW,Zoulfa Katouh,,4.51,48003
THE WORLD OF YESTERDAY,Stefan Zweig,,4.51,22359
WAR'S UNWOMANLY FACE,Svetlana Alexievich,,4.51,33061
PROJECT HAIL MARY,Andy Weir,,4.51,573116
A LIFE ON OUR PLANET: MY WITNESS STATEMENT AND A VISION FOR THE FUTURE,David Attenborough,,4.51,29117
PROJECT HAIL MARY,Andy Weir,,4.51,573111
"DEAR IJEAWELE, OR A FEMINIST MANIFESTO IN FIFTEEN SUGGESTIONS",Chimamanda Ngozi Adichie,,4.51,82201
THE HEART'S INVISIBLE FURIES,John Boyne,,4.51,163593
PUSLU KITALAR ATLASI,İhsan Oktay Anar,,4.51,19139
HARRY POTTER AND THE ORDER OF THE PHOENIX,J.K. Rowling,Harry Potter #5,4.5,3393240
EVERBLAZE,Shannon Messenger,Keeper of the Lost Cities #3,4.5,46175
THE EMPIRE OF GOLD,S.A. Chakraborty,The Daevabad Trilogy #3,4.5,55120
ALCOHOLICS ANONYMOUS,Alcoholics Anonymous,,4.5,10679
THE TOWER OF NERO,Rick Riordan,The Trials of Apollo #5,4.5,65816
THE ENCHANTED FOREST CHRONICLES,Patricia C. Wrede,The Enchanted Forest Chronicles #1-4,4.5,10567
CHANGES,Jim Butcher,The Dresden Files #12,4.5,115789
SWEET HOPE,Tillie Cole,Sweet Home #3; Carillo Boys #2,4.5,12051
HOUSE OF SKY AND BREATH,Sarah J. Maas,Crescent City #2,4.5,465725
IN THE BLOOD,Jack Carr,Terminal List #5,4.5,18232
NIGHT WATCH,Terry Pratchett,Discworld #29; City Watch #6,4.5,110959
WORLDS COLLIDE,Chris Colfer,The Land of Stories #6,4.5,34348
THE CRUEL PRINCE / THE WICKED KING / THE QUEEN OF NOTHING,Holly Black,The Folk of the Air #1-3,4.5,13245
THE HITCHHIKER'S GUIDE TO THE GALAXY: A TRILOGY IN FOUR PARTS,Douglas Adams,,4.5,36208
THE COMPLETE SHERLOCK HOLMES,Arthur Conan Doyle,,4.5,198486
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,,4.5,104896
"THE ELEPHANT WHISPERER: LEARNING ABOUT LIFE, LOYALTY AND FREEDOM FROM A REMARKABLE HERD OF ELEPHANTS",Lawrence     Anthony,,4.5,27587
RITA HAYWORTH AND SHAWSHANK REDEMPTION,Stephen King,,4.5,43660
IN ORDER TO LIVE: A NORTH KOREAN GIRL'S JOURNEY TO FREEDOM,Yeonmi Park,,4.49,85123
STORM AND SILENCE,Robert Thier,Storm and Silence #1,4.49,28237
SIX OF CROWS,Leigh Bardugo,Six of Crows #1,4.49,953428
SIX OF CROWS,Leigh Bardugo,Six of Crows #1,4.49,953428
WINTER TURNING,Tui T. Sutherland,Wings of Fire #7,4.49,24716
BEYOND THE VEIL,Quinn Loftis,The Grey Wolves #5,4.49,13827
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Crescent City #1,4.49,683255
