Título,Autor,Serie,Valoración,Votos
THE CASE FOR CHRIST,Lee Strobel,,4.21,133590
ساق البامبو,سعود السنعوسي,,4.21,57640
THE DIVINE CONSPIRACY: REDISCOVERING OUR HIDDEN LIFE IN GOD,Dallas Willard,,4.21,14475
THE EIGHTH SISTER,Robert Dugoni,Charles Jenkins #1,4.21,37132
AS GOOD AS DEAD,Holly  Jackson,A Good Girl's Guide to Murder #3,4.21,328910
DANCE UPON THE AIR,Nora Roberts,Three Sisters Island #1,4.21,71539
THE HERETIC QUEEN,Michelle    Moran,,4.21,25324
ANGELS FLIGHT,Michael Connelly,Harry Bosch #6; Harry Bosch Universe #8,4.21,61770
CAPTURING THE DEVIL,Kerri Maniscalco,Stalking Jack the Ripper #4,4.21,38543
DAISY JONES & THE SIX,Taylor Jenkins Reid,,4.21,1497680
STILL LIFE WITH CROWS,Douglas Preston,Pendergast #4,4.21,38748
THE RISE AND FALL OF THE THIRD REICH: A HISTORY OF NAZI GERMANY,William L. Shirer,,4.21,134023
CLAUDIUS THE GOD AND HIS WIFE MESSALINA,Robert Graves,Claudius #2,4.21,15192
WE WISH TO INFORM YOU THAT TOMORROW WE WILL BE KILLED WITH OUR FAMILIES,Philip Gourevitch,,4.21,34209
THE WINNER'S KISS,Marie Rutkoski,The Winner's Trilogy #3,4.21,50369
A BRIEF HISTORY OF TIME,Stephen Hawking,,4.21,433195
DAISY JONES & THE SIX,Taylor Jenkins Reid,,4.21,1497666
SHIP OF MAGIC,Robin Hobb,Liveship Traders #1,4.21,84303
THE CONCRETE BLONDE,Michael Connelly,Harry Bosch #3; Harry Bosch Universe #3,4.21,70385
NEVER CRY WOLF: THE AMAZING TRUE STORY OF LIFE AMONG ARCTIC WOLVES,Farley Mowat,,4.21,24717
EYE OF THE NEEDLE,Ken Follett,,4.21,156954
THE IMITATION OF CHRIST,Thomas à Kempis,,4.21,23944
HAWAII,James A. Michener,,4.21,78760
DESERT FLOWER,Waris Dirie,,4.21,34705
GIDEON THE NINTH,Tamsyn Muir,The Locked Tomb #1,4.21,135347
THESE HAPPY GOLDEN YEARS,Laura Ingalls Wilder,Little House #8,4.21,74881
THE RESTAURANT AT THE END OF THE UNIVERSE,Douglas Adams,The Hitchhiker's Guide to the Galaxy #2,4.21,288370
A RULE AGAINST MURDER,Louise Penny,Chief Inspector Armand Gamache #4,4.21,95401
HOMO DEUS: A HISTORY OF TOMORROW,Yuval Noah Harari,,4.21,251167
THE CHRONOLOGY OF WATER,Lidia Yuknavitch,,4.21,13799
A KINGDOM OF DREAMS,Judith McNaught,Westmoreland #1,4.21,53708
EDGEDANCER,Brandon Sanderson,The Stormlight Archive #2.5,4.21,102090
WRATH,Laurann Dohner,New Species #6,4.21,17729
THE BLUE SWORD,Robin McKinley,Damar #1,4.21,60963
STONE COLD TOUCH,Jennifer L. Armentrout,The Dark Elements #2,4.21,59918
THE UNTETHERED SOUL: THE JOURNEY BEYOND YOURSELF,Michael A. Singer,,4.21,111342
THE HUMMINGBIRD'S DAUGHTER,Luis Alberto Urrea,,4.21,13507
THE DAYLIGHT WAR,Peter V. Brett,Demon Cycle #3,4.21,61674
MOM & ME & MOM,Maya Angelou,,4.21,25500
DESIRE UNCHAINED,Larissa Ione,Demonica #2,4.21,34685
HUNTING PRINCE DRACULA,Kerri Maniscalco,Stalking Jack the Ripper #2,4.21,73116
ROMANCERO GITANO,Federico García Lorca,,4.21,11200
THE GREATEST SALESMAN IN THE WORLD,Og Mandino,,4.21,64307
THE EGYPTIAN,Mika Waltari,,4.21,24424
GREENLIGHTS,Matthew McConaughey,,4.21,331696
MISERY,Stephen King,,4.21,700744
"DEBT: THE FIRST 5,000 YEARS",David Graeber,,4.21,22174
LOS RENGLONES TORCIDOS DE DIOS,Torcuato Luca de Tena,,4.21,25223
"DESTINY OF THE REPUBLIC: A TALE OF MADNESS, MEDICINE AND THE MURDER OF A PRESIDENT",Candice Millard,,4.21,74957
ARE YOU MY MOTHER?,P.D. Eastman,,4.21,243793
LITTLE HOUSE ON THE PRAIRIE,Laura Ingalls Wilder,Little House #3,4.21,291030
ETERNAL KISS OF DARKNESS,Jeaniene Frost,Night Huntress World #2,4.21,43775
THE RING OF SOLOMON,Jonathan Stroud,Bartimaeus #0.5,4.21,30701
GIDEON THE NINTH,Tamsyn Muir,The Locked Tomb #1,4.21,135345
SONS OF DESTINY,Darren Shan,Cirque du Freak #12,4.21,22385
ATTACK OF THE FIEND,Joseph  Delaney,The Last Apprentice / Wardstone Chronicles #4,4.21,23652
AS GOOD AS DEAD,Holly  Jackson,A Good Girl's Guide to Murder #3,4.21,328910
THE THIEF OF ALWAYS,Clive Barker,,4.21,33724
GREGOR AND THE PROPHECY OF BANE,Suzanne Collins,Underland Chronicles #2,4.21,47652
KING OF THE WIND: THE STORY OF THE GODOLPHIN ARABIAN,Marguerite Henry,,4.21,26524
THE BODY READER,Anne Frasier,Detective Jude Fontaine Mysteries #1,4.21,31339
EVERY LAST BREATH,Jennifer L. Armentrout,The Dark Elements #3,4.21,48218
MIDNIGHT RISING,Lara Adrian,Midnight Breed #4,4.21,34220
VICIOUS,V.E.  Schwab,Villains #1,4.21,244143
WOLF-SPEAKER,Tamora Pierce,Immortals #2,4.21,58574
KUYUCAKLI YUSUF,Sabahattin Ali,,4.21,20021
2666,Roberto Bolaño,,4.21,41810
THE SLEEPWALKERS: HOW EUROPE WENT TO WAR IN 1914,Christopher   Clark,,4.21,11655
FLOWERS FOR ALGERNON,Daniel Keyes,,4.21,673877
CRYSTAL STORM,Morgan Rhodes,Falling Kingdoms #5,4.21,16642
THE UNBOUND,V.E.  Schwab,The Archived #2,4.21,15492
THE COVENANT,James A. Michener,,4.21,21118
MALGUDI DAYS,R.K. Narayan,,4.21,18238
THE HERO AND THE CROWN,Robin McKinley,Damar #2,4.21,53373
HORTON HEARS A WHO!,Dr. Seuss,,4.21,109590
REASON TO BREATHE,Rebecca    Donovan,Breathing #1,4.21,93140
NEVER FADE,Alexandra Bracken,The Darkest Minds #2,4.21,98148
THE WALL OF WINNIPEG AND ME,Mariana Zapata,,4.21,256627
SIX CRIMSON CRANES,Elizabeth Lim,Six Crimson Cranes #1,4.21,76496
CINDER & ELLA,Kelly Oram,Cinder & Ella #1,4.21,34952
THE LINCOLN LAWYER,Michael Connelly,The Lincoln Lawyer #1; Harry Bosch Universe #16,4.21,236240
THE ETERNITY CURE,Julie Kagawa,Blood of Eden #2,4.21,38321
A ROOM OF ONE’S OWN,Virginia Woolf,,4.21,208539
CUT AND RUN,Mary Burton,Criminal Profiler #3,4.21,27755
LOVELESS,Alice Oseman,,4.21,101531
WILD SEED,Octavia E. Butler,Patternmaster #1,4.21,34482
JUST KIDS,Patti Smith,,4.21,282150
THE DESERT SPEAR,Peter V. Brett,Demon Cycle #2,4.21,87014
CHESAPEAKE,James A. Michener,,4.21,25708
EATING ANIMALS,Jonathan Safran Foer,,4.21,77984
THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY,Trenton Lee Stewart,The Mysterious Benedict Society #2,4.21,55929
HOPSCOTCH,Julio Cortázar,,4.21,42981
JUST KIDS,Patti Smith,,4.21,282150
LOST LIGHT,Michael Connelly,Harry Bosch #9; Harry Bosch Universe #13,4.21,62002
MISERY,Stephen King,,4.21,700747
EVERWILD,Neal Shusterman,Skinjacker #2,4.21,13880
THE HAPPY PRINCE,Oscar Wilde,,4.21,34213
THE TIBETAN BOOK OF LIVING AND DYING,Sogyal Rinpoche,,4.21,29751
MAGIC'S PAWN,Mercedes Lackey,The Last Herald-Mage #1,4.21,26973
"I, ROBOT",Isaac Asimov,Robot #0.1,4.21,347196
A MANGO-SHAPED SPACE,Wendy Mass,,4.21,34479
MIKE MULLIGAN AND HIS STEAM SHOVEL,Virginia Lee Burton,,4.21,52995
THE IDIOT,Fyodor Dostoevsky,,4.21,183413
WITHOUT REMORSE,Tom Clancy,John Clark #1; Jack Ryan Universe Publication Order #6,4.21,71591
THE BLADE ITSELF,Joe Abercrombie,The First Law #1,4.21,248182
THE ORDINARY PRINCESS,M.M. Kaye,,4.21,13829
LA VIE DEVANT SOI,Romain Gary,,4.21,30457
THE RIGHTEOUS MIND: WHY GOOD PEOPLE ARE DIVIDED BY POLITICS AND RELIGION,Jonathan Haidt,,4.21,56470
INKHEART / INKSPELL / INKDEATH,Cornelia Funke,The Inkheart Trilogy #1-3,4.21,19239
PARABLE OF THE SOWER,Octavia E. Butler,Earthseed #1,4.21,169251
LEO AFRICANUS,Amin Maalouf,,4.21,14661
BITE CLUB,Rachel Caine,The Morganville Vampires #10,4.21,30739
STEALING PHOENIX,Joss Stirling,Benedicts #2,4.21,13024
"TRANSMETROPOLITAN, VOL. 1: BACK ON THE STREET",Warren Ellis,,4.21,45574
A SHORT HISTORY OF NEARLY EVERYTHING,Bill Bryson,,4.21,387021
DOWN LONDON ROAD,Samantha Young,On Dublin Street #2,4.2,54216
JOHNNY GOT HIS GUN,Dalton Trumbo,,4.2,44082
SHORT-STRAW BRIDE,Karen Witemeyer,Archer Brothers #1,4.2,14206
EXCESSION,Iain M. Banks,Culture #5,4.2,31188
STASILAND: STORIES FROM BEHIND THE BERLIN WALL,Anna Funder,,4.2,18723
GAUDY NIGHT,Dorothy L. Sayers,Lord Peter Wimsey #12,4.2,29670
MOXIE,Jennifer Mathieu,,4.2,32962
JOURNEY TO THE RIVER SEA,Eva Ibbotson,,4.2,16007
RELATIVITY: THE SPECIAL AND THE GENERAL THEORY,Albert Einstein,,4.2,21557
GABRIEL'S REDEMPTION,Sylvain Reynard,Gabriel's Inferno #3,4.2,41208
THE PRIORY OF THE ORANGE TREE,Samantha    Shannon,The Roots of Chaos #1,4.2,204253
THE DARKEST ROAD,Guy Gavriel Kay,The Fionavar Tapestry #3,4.2,17795
SMARAGDGRÜN,Kerstin Gier,Edelstein-Trilogie #3,4.2,100928
THE PRISON HEALER,Lynette Noni,The Prison Healer #1,4.2,74629
DEATH'S MISTRESS,Karen Chance,Dorina Basarab #2,4.2,17409
LITTLE HOUSE IN THE BIG WOODS,Laura Ingalls Wilder,Little House #1,4.2,269542
ASSASSIN'S QUEST,Robin Hobb,Farseer Trilogy #3,4.2,159102
THE PALACE OF ILLUSIONS,Chitra Banerjee Divakaruni,,4.2,52443
BLACK SUN,Rebecca Roanhorse,Between Earth and Sky #1,4.2,43998
THE MIRACLE WORKER: A PLAY,William  Gibson,,4.2,34671
FOREVER TOO FAR,Abbi Glines,Rosemary Beach #3; Too Far #3,4.2,86235
SUTTREE,Cormac McCarthy,,4.2,23776
MURDER ON THE ORIENT EXPRESS,Agatha Christie,Hercule Poirot #10,4.2,624791
GABRIEL'S RAPTURE,Sylvain Reynard,Gabriel's Inferno #2,4.2,114558
DRAGON FLIGHT,Jessica Day George,Dragon Slippers #2,4.2,19950
A COURT OF THORNS AND ROSES,Sarah J. Maas,A Court of Thorns and Roses #1,4.2,2547108
MOCKINGBIRD,Kathryn Erskine,,4.2,34543
THE FAR PAVILIONS,M.M. Kaye,,4.2,44041
THE ALLOY OF LAW,Brandon Sanderson,Mistborn #4,4.2,222132
A WALK TO REMEMBER,Nicholas Sparks,,4.2,805840
رجال في الشمس,Ghassan Kanafani,,4.2,21247
LIGHT IN THE SHADOWS,A. Meredith Walters,Find You in the Dark #2,4.2,16822
A WOMAN OF SUBSTANCE,Barbara Taylor Bradford,Emma Harte Saga #1,4.2,40028
LEONARDO DA VINCI,Walter Isaacson,,4.2,106744
THE TARTAR STEPPE,Dino Buzzati,,4.2,31184
ONE FLEW OVER THE CUCKOO’S NEST,Ken Kesey,,4.2,733625
THE QUILLAN GAMES,D.J. MacHale,Pendragon #7,4.2,22761
BLACKVEIL,Kristen Britain,Green Rider #4,4.2,12748
THE BRAIN THAT CHANGES ITSELF: STORIES OF PERSONAL TRIUMPH FROM THE FRONTIERS OF BRAIN SCIENCE,Norman Doidge,,4.2,37608
DEATH: THE HIGH COST OF LIVING,Neil Gaiman,,4.2,41699
BROTHERS IN ARMS,Lois McMaster Bujold,Vorkosigan Saga #5,4.2,18142
BUSINESS MODEL GENERATION,Alexander Osterwalder,,4.2,55691
KATHERINE,Anya Seton,,4.2,33585
LOVE IN THE AFTERNOON,Lisa Kleypas,The Hathaways #5,4.2,49317
TWICE BITTEN,Chloe Neill,Chicagoland Vampires #3,4.2,50621
RED STORM RISING,Tom Clancy,,4.2,80094
PREY,Rachel Vincent,Shifters #4,4.2,17733
HAMNET,Maggie O'Farrell,,4.2,257470
ARCHANGEL'S KISS,Nalini Singh,Guild Hunter #2,4.2,58347
THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,Jon Scieszka,,4.2,94989
EL DEAFO,Cece Bell,,4.2,84588
ASK AND IT IS GIVEN: LEARNING TO MANIFEST YOUR DESIRES,Esther Hicks,,4.2,36122
THE PHANTOM TOLLBOOTH,Norton Juster,,4.2,287278
FIRE BRINGER,David Clement-Davies,,4.2,13737
"NIGHT WORLD, NO. 2",L.J. Smith,Night World #4-6,4.2,59248
PALACE OF TREASON,Jason  Matthews,Red Sparrow Trilogy #2,4.2,22948
UNTIL YOU,Penelope Douglas,Fall Away #2,4.2,56830
EICHMANN IN JERUSALEM: A REPORT ON THE BANALITY OF EVIL,Hannah Arendt,,4.2,27400
A COURT OF THORNS AND ROSES,Sarah J. Maas,A Court of Thorns and Roses #1,4.2,2547178
GIRL MADE OF STARS,Ashley Herring Blake,,4.2,27455
DEEP AND DARK AND DANGEROUS,Mary Downing Hahn,,4.2,21428
SPINNING SILVER,Naomi Novik,,4.2,130346
THE RISE AND FALL OF THE DINOSAURS: A NEW HISTORY OF A LOST WORLD,Steve Brusatte,,4.2,31504
WOLVES OF THE CALLA,Stephen King,The Dark Tower #5,4.2,184950
APOLOGY,Plato,,4.2,55833
I KNOW THIS MUCH IS TRUE,Wally Lamb,,4.2,312763
THE CROWN CONSPIRACY,Michael J. Sullivan,The Riyria Revelations #1,4.2,23784
TIKKI TIKKI TEMBO,Arlene Mosel,,4.2,64572
BLOODLINES,Richelle Mead,Bloodlines #1,4.2,185832
AMERICAN TABLOID,James Ellroy,Underworld USA #1,4.2,18522
BABEL,R.F. Kuang,,4.2,224633
CRUSH,Nicole  Williams,Crash #3,4.2,31723
THE IRON QUEEN,Julie Kagawa,The Iron Fey #3,4.2,106547
LES FLEURS DU MAL,Charles Baudelaire,,4.2,71534
THE BONE COLLECTOR,Jeffery Deaver,Lincoln Rhyme #1,4.2,179882
THE SPOOK'S SACRIFICE,Joseph  Delaney,The Last Apprentice / Wardstone Chronicles #6,4.2,15449
RAID,Kristen Ashley,Unfinished Hero #3,4.2,32788
THE RED TENT,Anita Diamant,,4.2,599711
IF YOU GIVE A MOOSE A MUFFIN,Laura Numeroff,,4.2,62576
THE RIVERS OF ZADAA,D.J. MacHale,Pendragon #6,4.2,24916
KISS OF DEATH,Rachel Caine,The Morganville Vampires #8,4.2,39224
ABSOLUTE POWER,David Baldacci,,4.2,106509
THE EXORCIST,William Peter Blatty,,4.2,235227
THE MYSTERIOUS BENEDICT SOCIETY,Trenton Lee Stewart,The Mysterious Benedict Society #1,4.2,161615
WOLF BY WOLF,Ryan Graudin,Wolf by Wolf #1,4.2,22227
BILLY SUMMERS,Stephen King,,4.2,155481
DON'T JUDGE A GIRL BY HER COVER,Ally Carter,Gallagher Girls #3,4.2,71963
MYSTERY MAN,Kristen Ashley,Dream Man #1,4.2,72216
"SAME KIND OF DIFFERENT AS ME: A MODERN-DAY SLAVE, AN INTERNATIONAL ART DEALER, AND THE UNLIKELY WOMAN WHO BOUND THEM TOGETHER",Ron Hall,,4.2,90006
A COURT OF THORNS AND ROSES,Sarah J. Maas,A Court of Thorns and Roses #1,4.2,2547108
"THE SPIRIT CATCHES YOU AND YOU FALL DOWN: A HMONG CHILD, HER AMERICAN DOCTORS, AND THE COLLISION OF TWO CULTURES",Anne Fadiman,,4.2,83111
TWILIGHT: THE COMPLETE ILLUSTRATED MOVIE COMPANION,Mark Cotta Vaz,,4.2,430506
THE BOOK OF LIFE,Deborah Harkness,All Souls #3,4.2,191474
ARIEL,Sylvia Plath,,4.2,79977
HOW GREEN WAS MY VALLEY,Richard Llewellyn,,4.2,17464
WOLF BROTHER,Michelle Paver,Chronicles of Ancient Darkness #1,4.2,27230
GODDESS OF SPRING,P.C. Cast,Goddess Summoning #2,4.2,10768
THE INSTITUTE,Stephen King,,4.2,272653
LITTLE TOWN ON THE PRAIRIE,Laura Ingalls Wilder,Little House #7,4.2,89309
PRISONERS OF GEOGRAPHY: TEN MAPS THAT TELL YOU EVERYTHING YOU NEED TO KNOW ABOUT GLOBAL POLITICS,Tim  Marshall,,4.2,93328
LORDS AND LADIES,Terry Pratchett,Discworld #14; Witches #4,4.2,79566
"CONVERSATIONS WITH GOD: AN UNCOMMON DIALOGUE, BOOK 1",Neale Donald Walsch,,4.2,38921
THE SNOWY DAY,Ezra Jack Keats,Peter #1,4.2,116003
TILT,Ellen Hopkins,,4.2,17472
NORTH AND SOUTH,John Jakes,North and South #1,4.2,61164
THE ESCAPE,David Baldacci,John Puller #3,4.2,56361
SHATTERED,Teri Terry,Slated #3,4.2,14345
EL LLANO EN LLAMAS,Juan Rulfo,,4.2,21478
"TALL, DARK & HUNGRY",Lynsay Sands,Argeneau #4,4.2,19676
TO GREEN ANGEL TOWER,Tad Williams,Memory Sorrow and Thorn #3,4.2,35369
EYES OF THE VOID,Adrian Tchaikovsky,The Final Architecture #2,4.2,13342
CARPE CORPUS,Rachel Caine,The Morganville Vampires #6,4.2,49078
THE MARRIAGE OF HEAVEN AND HELL,William Blake,,4.2,10751
THE MAN WHO PLANTED TREES,Jean Giono,,4.2,15408
A KNIGHT IN SHINING ARMOR,Jude Deveraux,Montgomery/Taggert Family #13,4.2,36665
THE LIFE AND DEATH OF ANNE BOLEYN,Eric Ives,,4.2,10281
NIGHT PLEASURES,Sherrilyn Kenyon,Dark-Hunter #1,4.2,79789
CHARLOTTE’S WEB,E.B. White,,4.2,1840401
LES MISÉRABLES,Victor Hugo,,4.2,798897
"NIGHT WORLD, NO. 3",L.J. Smith,Night World #7-9,4.2,65607
FLYBOYS: A TRUE STORY OF COURAGE,James D. Bradley,,4.19,21845
طبائع الاستبداد ومصارع الاستعباد,Abd al-Rahman al-Kawakibi,,4.19,10161
THE DUNWICH HORROR AND OTHER STORIES,H.P. Lovecraft,,4.19,15748
FADE OUT,Rachel Caine,The Morganville Vampires #7,4.19,39866
ENDYMION,Dan Simmons,Hyperion Cantos #3,4.19,61486
THE ASSASSIN AND THE HEALER,Sarah J. Maas,Throne of Glass #0.2,4.19,40054
DARK DESIRE,Christine Feehan,Dark #2,4.19,31585
OWN THE WIND,Kristen Ashley,Chaos #1,4.19,48744
THE WHITE DRAGON,Anne McCaffrey,The Dragonriders of Pern #3,4.19,47760
TALKING TO DRAGONS,Patricia C. Wrede,Enchanted Forest Chronicles #4,4.19,36107
"MOUNTAINS BEYOND MOUNTAINS: THE QUEST OF DR. PAUL FARMER, A MAN WHO WOULD CURE THE WORLD",Tracy Kidder,,4.19,84641
THE NAKED SUN,Isaac Asimov,Robot #2,4.19,57105
A PRISONER OF BIRTH,Jeffrey Archer,,4.19,39292
CROWN DUEL,Sherwood Smith,Crown & Court #1-2,4.19,25231
WRITTEN IN BONE,Simon Beckett,David Hunter #2,4.19,19085
A DARKNESS AT SETHANON,Raymond E. Feist,The Riftwar Saga #4,4.19,67398
ALLIES OF THE NIGHT,Darren Shan,Cirque du Freak #8,4.19,26961
FOUNDRYSIDE,Robert Jackson Bennett,The Founders Trilogy #1,4.19,41764
BOOKS OF BLOOD: VOLUMES ONE TO THREE,Clive Barker,Books of Blood #1-3,4.19,28176
EDGE OF ETERNITY,Ken Follett,The Century Trilogy #3,4.19,106517
RESTART,Gordon Korman,,4.19,40047
PAY IT FORWARD,Catherine Ryan Hyde,,4.19,27234
"A COURSE IN MIRACLES: COMBINED VOLUME - VOLUME I : TEXT, VOLUME II: WORKBOOK FOR STUDENTS, VOLUME III: MANUAL FOR TEACHERS",Foundation for Inner Peace,,4.19,32314
WOLF HOLLOW,Lauren Wolk,Wolf Hollow #1,4.19,27058
THE CAVES OF STEEL,Isaac Asimov,Robot #1,4.19,100961
DIRTY RED,Tarryn Fisher,Love Me with Lies #2,4.19,34263
ADDICTED FOR NOW,Krista Ritchie,Addicted #3,4.19,68353
INFIDEL,Ayaan Hirsi Ali,,4.19,90070
THE LONG GOODBYE,Raymond Chandler,Philip Marlowe #6,4.19,42599
RUSH TOO FAR,Abbi Glines,Rosemary Beach #4; Too Far #4,4.19,33281
UNHINGED,A.G. Howard,Splintered #2,4.19,27537
DESERT SOLITAIRE,Edward Abbey,,4.19,49836
NOUGHTS & CROSSES,Malorie Blackman,Noughts & Crosses #1,4.19,74205
1984,George Orwell,,4.19,4617941
THE BLACK STALLION,Walter Farley,The Black Stallion #1,4.19,73684
THE SCARLET THREAD,Francine Rivers,,4.19,33191
THE HARD WAY,Lee Child,Jack Reacher #10,4.19,83242
GONE TOMORROW,Lee Child,Jack Reacher #13,4.19,105944
THE INVISIBLE LIFE OF ADDIE LARUE,V.E.  Schwab,,4.19,1077607
THE TESTAMENTS,Margaret Atwood,The Handmaid's Tale #2,4.19,353269
THE OPPORTUNIST,Tarryn Fisher,Love Me with Lies #1,4.19,53062
HOW THE KING OF ELFHAME LEARNED TO HATE STORIES,Holly Black,The Folk of the Air #3.5,4.19,191706
ONCE BURNED,Jeaniene Frost,Night Prince #1,4.19,68965
BORN OF NIGHT,Sherrilyn Kenyon,The League: Nemesis Rising #1,4.19,27525
FOR YOU,Kristen Ashley,The 'Burg #1,4.19,29935
"BONE, VOL. 1: OUT FROM BONEVILLE",Jeff Smith,Bone #1,4.19,88561
NOTORIOUS RBG: THE LIFE AND TIMES OF RUTH BADER GINSBURG,Irin Carmon,,4.19,59744
JOURNEY TO THE END OF THE NIGHT,Louis-Ferdinand Céline,,4.19,42214
CONSIDER THE LOBSTER AND OTHER ESSAYS,David Foster Wallace,,4.19,49804
ON TYRANNY: TWENTY LESSONS FROM THE TWENTIETH CENTURY,Timothy Snyder,,4.19,63386
THE FOUR AGREEMENTS,Miguel Ruiz,,4.19,401847
PAULA,Isabel Allende,,4.19,48047
PACK UP THE MOON,Kristan Higgins,,4.19,36082
GERMINAL,Émile Zola,,4.19,37919
THE FORBIDDEN GAME,L.J. Smith,The Forbidden Game #1-3,4.19,22226
BLUE-EYED DEVIL,Lisa Kleypas,Travises #2,4.19,38193
THE LAST REPORT ON THE MIRACLES AT LITTLE NO HORSE,Louise Erdrich,,4.19,12727
THE ROBOTS OF DAWN,Isaac Asimov,Robot #3,4.19,49772
THE INVISIBLE LIFE OF ADDIE LARUE,V.E.  Schwab,,4.19,1077591
"TALL, TATTED AND TEMPTING",Tammy Falkner,The Reed Brothers #1,4.19,29006
THE OTHER WIND,Ursula K. Le Guin,Earthsea Cycle #6,4.19,27701
THE BIRD AND THE SWORD,Amy Harmon,The Bird and the Sword Chronicles #1,4.19,41549
THE QUEEN'S GAMBIT,Walter Tevis,,4.19,117867
KNIFE OF DREAMS,Robert Jordan,The Wheel of Time #11,4.19,132693
THE SKYSTONE,Jack Whyte,Camulod Chronicles #1,4.19,10025
THE SHELL SEEKERS,Rosamunde Pilcher,,4.19,111172
FIGHT CLUB,Chuck Palahniuk,,4.19,593041
THE INVISIBLE LIFE OF ADDIE LARUE,V.E.  Schwab,,4.19,1077607
PERFECT,Cecelia Ahern,Flawed #2,4.19,21967
1984,George Orwell,,4.19,4617941
DREAM WARRIOR,Sherrilyn Kenyon,Dark-Hunter #16; Dream-Hunter #4,4.19,26202
THE THRONE OF FIRE,Rick Riordan,The Kane Chronicles #2,4.19,209478
OUTLIERS: THE STORY OF SUCCESS,Malcolm Gladwell,,4.19,788367
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer,,4.19,754411
استمتع بحياتك,محمد عبد الرحمن العريفي,,4.19,13977
FROM HELL,Alan Moore,,4.19,41305
THE NATURALS,Jennifer Lynn Barnes,The Naturals #1,4.19,116023
SLOUCHING TOWARDS BETHLEHEM,Joan Didion,,4.19,67618
ORPHAN TRAIN,Christina Baker Kline,,4.19,442629
THE EYE OF THE WORLD,Robert Jordan,The Wheel of Time #1,4.19,532821
HAVE A LITTLE FAITH: A TRUE STORY,Mitch Albom,,4.19,85940
SCOTT PILGRIM'S PRECIOUS LITTLE LIFE,Bryan Lee O'Malley,Scott Pilgrim #1,4.19,201001
THE PERSIAN BOY,Mary Renault,Alexander the Great #2,4.19,10029
THE RAZOR’S EDGE,W. Somerset Maugham,,4.19,48489
ASHES IN THE WIND,Kathleen E. Woodiwiss,,4.19,10386
ARROW'S FALL,Mercedes Lackey,Heralds of Valdemar #3,4.19,23238
ABOVE THE BAY OF ANGELS,Rhys Bowen,,4.19,29355
PLEASE KILL ME: THE UNCENSORED ORAL HISTORY OF PUNK,Legs McNeil,,4.19,34004
THE TOLL,Neal Shusterman,Arc of a Scythe #3,4.19,128030
THE MEMOIRS OF CLEOPATRA,Margaret George,,4.19,20794
MOLOKA'I,Alan Brennert,Moloka'i #1,4.19,130811
A GUIDE TO THE GOOD LIFE: THE ANCIENT ART OF STOIC JOY,William B. Irvine,,4.19,24625
TILL WE HAVE FACES,C.S. Lewis,,4.19,70351
RADIO SILENCE,Alice Oseman,,4.19,110719
FIGHTING REDEMPTION,Kate  McCarthy,,4.19,11422
1984,George Orwell,,4.19,4617961
RAVEN RISE,D.J. MacHale,Pendragon #9,4.19,22863
"BATTLE ANGEL ALITA, VOL. 1",Yukito Kishiro,,4.19,10838
DANCE OF DEATH,Douglas Preston,Pendergast #6; Diogenes #2,4.19,33191
1984,George Orwell,,4.19,4617961
THE DIARY OF A YOUNG GIRL,Anne Frank,,4.19,3742106
"THE MIDWIFE: A MEMOIR OF BIRTH, JOY, AND HARD TIMES",Jennifer Worth,,4.19,72845
RADIO SILENCE,Alice Oseman,,4.19,110719
"HUMAN, ALL TOO HUMAN: A BOOK FOR FREE SPIRITS",Friedrich Nietzsche,,4.19,11918
ENCHANTERS' END GAME,David Eddings,The Belgariad #5,4.19,92632
THE RIVER OF DOUBT: THEODORE ROOSEVELT'S DARKEST JOURNEY,Candice Millard,,4.19,67779
THE DUNWICH HORROR AND OTHERS,H.P. Lovecraft,,4.19,15748
"NOTES FROM UNDERGROUND, WHITE NIGHTS, THE DREAM OF A RIDICULOUS MAN, AND SELECTIONS FROM THE HOUSE OF THE DEAD",Fyodor Dostoevsky,,4.19,76744
COLLIDE,Gail McHugh,Collide #1,4.19,65756
HOT SIX,Janet Evanovich,Stephanie Plum #6,4.19,131814
THE FIRES OF HEAVEN,Robert Jordan,The Wheel of Time #5,4.19,189276
THE GATES OF ROME,Conn Iggulden,Emperor #1,4.19,27976
NUMBER THE STARS,Lois Lowry,,4.19,569245
"DEATH NOTE, VOL. 9: CONTACT",Tsugumi Ohba,Death Note #9,4.19,19979
THE UGLY TRUTH,Jeff Kinney,Diary of a Wimpy Kid #5,4.19,132130
DRAMA,Raina Telgemeier,,4.19,145922
BUDDENBROOKS: THE DECLINE OF A FAMILY,Thomas Mann,,4.19,30464
THE TELL-TALE HEART AND OTHER WRITINGS,Edgar Allan Poe,,4.19,240182
THE CAT IN THE HAT,Dr. Seuss,The Cat in the Hat #1,4.19,541971
THE ASSASSIN AND THE PIRATE LORD,Sarah J. Maas,Throne of Glass #0.1,4.19,57492
LOVING MR. DANIELS,Brittainy C. Cherry,,4.19,37184
THE PROMISE,Chaim Potok,Reuven Malther #2,4.18,13688
ONE MOMENT IN TIME,Shari Low,,4.18,27742
